,name,longitude,latitude
89,CANNAN ENG & CHINESE KG (SHA TAU KOK),114.1978,22.2888
90,CANNAN KG (LAGUNA CITY),114.2275,22.306
91,CANNAN KINDERGARTEN (CHARMING GARDEN),114.165,22.3132
92,CANNAN KINDERGARTEN (HONG KONG),114.1933,22.2867
93,CANNAN KINDERGARTEN (KOWLOON TONG),114.1786,22.3383
94,CANNAN KINDERGARTEN (PRIME VIEW GARDEN),113.9796,22.403
95,CANNAN KINDERGARTEN (RIVIERA GARDEN),114.1131,22.3617
96,CANNAN KINDERGARTEN (SIU SAI WAN),114.25,22.263
97,CANNAN KINDERGARTEN (TSUEN WAN),114.0575,22.4882
98,CANNAN KINDERGARTEN (WATERLOO ROAD),114.1782,22.3273
99,CANNAN KINDERGARTEN (WHAMPOA GARDEN),114.1917,22.3057
100,CARBO ANGLO-CHINESE KG (FANLING),114.1982,22.2892
101,CARITAS KAI YAU NURSERY SCHOOL,114.03,22.2096
102,CARITAS LING YUET SIN KINDERGARTEN,114.1397,22.285
103,CARITAS LIONS CLUB HK(PACIFIC) NUR SCH,114.0013,22.4471
104,CARITAS NURSERY SCHOOL - KENNEDY TOWN,114.128,22.2836
105,CARITAS NURSERY SCHOOL - LEI YUE MUN,114.2391,22.2972
106,CARITAS NURSERY SCHOOL - SHATIN,114.1908,22.3932
107,CARITAS NURSERY SCHOOL - TA KWU LING,114.1532,22.5332
108,CARITAS NURSERY SCHOOL - TSUI LAM,114.2476,22.3229
109,CARITAS NURSERY SCHOOL - YAU TONG,114.03,22.2096
110,CARITAS ST FRANCIS KINDERGARTEN,114.1695,22.2761
111,CARITAS ZONTA CLUB OF HK NURSERY SCHOOL,114.1982,22.2892
112,CARMEL SCHOOL,114.1796,22.3143
113,CASTAR KINDERGARTEN,114.1059,22.3548
114,CASTAR KINDERGARTEN (LEI MUK SHUE),114.134,22.3793
115,CATILINE ANGLO-CHINESE KINDERGARTEN,114.2251,22.4036
116,CATILINE KINDERGARTEN,114.0562,22.4834
117,CATILINE KINDERGARTEN (FANLING),114.0562,22.4834
118,CATILINE KINDERGARTEN (FU SHAN),114.0562,22.4834
119,CATILINE KINDERGARTEN (WHAMPOA),114.0562,22.4834
120,CAUSEWAY BAY VICTORIA INTERNATIONAL KG,114.1271,22.2685
121,CAUSEWAY BAY VICTORIA KINDERGARTEN,114.1271,22.2685
122,CAUSEWAY BAY VICTORIA NURSERY,114.2166,22.2836
123,CCC CHAI WAN CHURCH DN,114.2332,22.2614
124,CCC CHEUNG CHAU CHURCH KAM KONG KG,114.0283,22.2036
125,CCC CHUEN YUEN KINDERGARTEN,114.1261,22.3681
126,CCC FUK YAU KINDERGARTEN,114.1266,22.5085
127,CCC FUK YAU NO. II KINDERGARTEN,113.9672,22.386
128,CCC HEEP WOH KINDERGARTEN,114.1721,22.3239
129,CCC KEI CHUN KINDERGARTEN,114.2259,22.2812
130,CCC KEI FAAT KINDERGARTEN,114.2339,22.2996
131,CCC KEI WA KINDERGARTEN,114.0595,22.3505
132,CCC MONGKOK CHURCH JEANNETTE KG,114.1693,22.3216
133,CCC SHUM OI CHURCH KINDERGARTEN,114.168,22.332
134,CCC TUEN MUN CHURCH KG,113.9772,22.3997
135,CCC TUEN MUN CHURCH NO. 2 KINDERGARTEN,113.977,22.389
136,CCC WANCHAI CHURCH KINDERGARTEN,114.169,22.3114
137,"CCC, SHATIN CHURCH POK HONG KINDERGARTEN",114.1933,22.3751
138,CCCHK CHI TO CH KEI POK KG (TKO),114.1905,22.3135
139,CECES ORGANIZED AETNA PRESCHOOL,114.1859,22.2786
140,CFSC CHEERLAND KG,114.1982,22.2892
141,CFSC YEOH CHOY WAI HAAN MEMORIAL KG,114.2027,22.2918
142,CHAN EN MEI LUTHERAN DAY NURSERY,114.0302,22.2054
143,CHAN MUNG YAN LUTHERAN KINDERGARTEN,113.9827,22.4633
144,CHE LOK KINDERGARTEN,114.1537,22.464
145,CHERISH ENGLISH SCHOOL & KINDERGARTEN,114.181,22.372
146,CHEUNG CHAU SACRED HEART KINDERGARTEN,114.0301,22.2097
